1 丶伴我几度 5 9
2 太极至尊 3 7
3 凯贼阔里 6 6
4 薄霭 5 5
5 框框 4 4
6 丿几度度丶 1 3
7 帅气无敌康爸爸 0 0
8 踏马清月夜 0 0
9 凌雲傲雪 0 0
10 冷沐瞳 0 0
11 張君雅。 0 0
12 尐浣熊。 0 0
13 煌煌 0 0
14 荡荡 0 0
15 七情剑伶慕容英 0 0
1 鱼香 9 21
2 叶枫刃 12 14
3 紫雨幽雲 10 12
4 花谢人凋零。 6 10
5 俱利摩 6 10
6 咲冭陽 4 8
7 只想做个好人 6 8
8 芍药児 7 7
9 迷茫中徘徊 5 7
10 伊贰叁 6 6
11 执劍小书生 4 6
12 那年今若、 4 6
13 FateScorpio 4 6
14 月下魂兮 3 5
15 顾寻清 3 5
16 Angelミ墨娘彡 5 5
17 闭月羞 3 5
18 在下唐银 3 5
19 花兮兮兮兮 3 5
20 吾寄愁心与明月 5 5
21 夜白衣 5 5
22 机智勇敢的小明 5 5
23 江湖多寂莫丶人 5 5
24 空虚公子萧四无 3 5
25 拾勾枯爬尖 5 5
26 墨炽 3 5
27 洪时雪 3 5
28 跑调的张学友 4 4
29 友善的咸鱼白 4 4
30 张灵风 4 4
31 白易轩 2 4
32 梓珏 4 4
33 汪映雪 4 4
34 陈凌风 4 4
35 鱼小小 4 4
36 冷晓汐丶 2 4
37 纳加法 4 4
38 破烂刀客 4 4
39 晓月梦澈 3 3
40 泪忆寒、 3 3
41 墨萧炎 1 3
42 大眼睛秋秋 3 3
43 椛灯 3 3
44 逸仙丶王爷 3 3
45 淡若清风過丶 1 3
46 Mn丶猫猫君 3 3
47 南宫絮语 3 3
48 浪迹小秦 3 3
49 暮雪醉逍遥 3 3
50 再见是否红着脸 2 2
51 任离流 2 2
52 秋末黑白 2 2
53 口味太怪 2 2
54 浪琴 2 2
55 沐浠尘 2 2
56 墨河 2 2
57 零拾 2 2
58 青骢绝骑塑天荒 2 2
59 一根直肠通大脑 2 2
60 魔法少女杜芸松 2 2
61 守护锋 2 2
62 艾莉亞史塔克 2 2
63 潇洒仗剑天下 2 2
64 这下可好啦 2 2
65 明年今日奕十年 2 2
66 偌米粥丶 2 2
67 山高丶木易 2 2
68 榕月 2 2
69 此情珂待 2 2
70 曲终无意 2 2
71 沐伯乾 2 2
72 盖世呆头洋 2 2
73 木易丶凝烟 1 1
74 晓晨晨晨 1 1
75 素蝶 1 1
76 除了帅还有酷 1 1
77 余子乔丶 1 1
78 语丶殇 1 1
79 墨韵轩华 1 1
80 蛋蛋疍 1 1
81 诸葛炎炎 1 1
82 丐帮萌主 1 1
83 梦觞丶 1 1
84 等我出轻语 1 1
85 淺笙 1 1
86 唐糖～ 1 1
87 ޓ一梦换须臾 1 1
88 树儿高高长 1 1
89 男人应有的自豪 0 0
90 神威再见 0 0
91 巴蜀萨摩耶 0 0
92 GoldㅈExperie 0 0
93 奶小牛丶 0 0
94 FateLibra 0 0
95 其实想玩刀客 0 0
96 袅袅余音灬 0 0
97 水影悠兰 0 0
98 惜玉挽轻裳 0 0
99 薛无衡 0 0
100 与尔同销萬古愁 0 0
101 百里轩翊 0 0
102 蘃 0 0
103 太子彬 0 0
104 那年红颜 0 0
105 叶菡 0 0
106 甄心 0 0
107 SouLmAte、小狼 0 0
108 五六柒 0 0
109 八块腹肌小官人 0 0
110 纯洁友善的暮夏 0 0
111 时钟轻摇孤独 0 0
112 蝶舞旧梦 0 0
113 苍镜 0 0
114 楪夢 0 0
115 南宫灼影 0 0
116 何月凡 0 0
117 童话话 0 0
118 吕小栋 0 0
119 折扇浪漫 0 0
