本周
PVE
帮众                      	职位                  	剩余              	获得              	消耗              
折扇未染。                   	小媳妇                 	1519                	4                   	0                   
美滋滋                   	小仙女                 	1068                	0                   	0                   
清酒未浊。                   	帮主                  	1007                	0                   	0                   
白露未已。                   	小仙女                 	1000                	0                   	0                   
❀五橙橙❀                   	小媳妇                 	913                 	0                   	0                   
依梦非梦                    	糙汉纸                 	795                 	0                   	0                   
李清清                   	小仙女                 	745                 	0                   	0                   
九歌未央。                   	冷御姐                 	720                 	0                   	0                   
讨厌厌                   	萌妹纸                 	642                 	0                   	0                   
秋分未凉。                   	糙汉纸                 	631                 	0                   	0                   
❀益力多❀                   	糙汉纸                 	594                 	0                   	0                   
雪舞云烟                    	糙汉纸                 	572                 	0                   	0                   
南栀ヾ                     	糙汉纸                 	570                 	0                   	0                   
＊苏卿颜＊                   	糙汉纸                 	545                 	0                   	0                   
水墨轻烟                    	萌妹纸                 	540                 	0                   	0                   
凉城箜语                 	弱小受                 	532                 	0                   	0                   
梦璃桃花淡淡                  	强总攻                 	519                 	0                   	0                   
浮笙未歇。                   	小仙女                 	509                 	0                   	0                   
麥田稻艹人                   	萌妹纸                 	472                 	0                   	0                   
ぺぃ叶ゞ                    	强总攻                 	471                 	0                   	0                   
阿爾卑斯奶糖                  	糙汉纸                 	454                 	1                   	0                   
余欢喜                    	娇萝莉                 	444                 	0                   	0                   
二叶律。                    	萌妹纸                 	443                 	0                   	0                   
独立天香一枝花                 	萌妹纸                 	431                 	0                   	0                   
山风未岚。                   	小仙女                 	415                 	0                   	0                   
阿狸呢ベ                    	强总攻                 	390                 	2                   	0                   
ˇ落月成孤倚ゞ                 	小傻瓜                 	375                 	0                   	0                   
曾沿着雪路浪游                 	萌妹纸                 	366                 	0                   	0                   
闲倚一枝藤                   	萌妹纸                 	362                 	0                   	0                   
凌天一帝                    	糙汉纸                 	362                 	0                   	0                   
狐言乱欲                    	小傻瓜                 	358                 	0                   	0                   
唐小楼゛                    	强总攻                 	344                 	0                   	0                   
忆往昔、倾风ヾ                 	弱小受                 	341                 	0                   	0                   
折墨                     	强总攻                 	336                 	0                   	0                   
犹印旧墨染                  	弱小受                 	336                 	0                   	0                   
蹁跹惊鸿舞ゞ                  	强总攻                 	334                 	0                   	0                   
柚花离海ヾ                   	强总攻                 	318                 	0                   	0                   
こ若若や                    	弱小受                 	315                 	0                   	0                   
故黎尘爅                    	小媳妇                 	310                 	0                   	0                   
寒夕若梦                    	小傻瓜                 	284                 	0                   	0                   
い烟儿                     	萌妹纸                 	284                 	0                   	0                   
金龟龟ぃ                    	强总攻                 	280                 	0                   	0                   
山外小楼听夜雨                 	弱小受                 	277                 	0                   	0                   
秋霜未浣。                   	弱小受                 	267                 	0                   	0                   
萌个包                     	弱小受                 	266                 	0                   	0                   
飞光倦饮一杯酒                 	强总攻                 	266                 	0                   	0                   
捡起∏回忆                   	强总攻                 	259                 	1                   	0                   
跳跳虎。                    	小傻瓜                 	256                 	0                   	0                   
如懿非凡                    	小帅哥                 	248                 	0                   	0                   
孟斐菲                     	萌妹纸                 	248                 	0                   	0                   
果如意                     	强总攻                 	243                 	0                   	0                   
白茶清欢无她事                 	强总攻                 	235                 	0                   	0                   
大肉球                     	弱小受                 	231                 	0                   	0                   
こ奉先や                    	小傻瓜                 	225                 	0                   	0                   
晴無飞扬啊                   	弱小受                 	222                 	0                   	0                   
皇族丿凌风                   	强总攻                 	218                 	0                   	0                   
何人知我霜雪催                 	强总攻                 	217                 	0                   	0                   
梦似年少丶                   	萌妹纸                 	213                 	0                   	0                   
浅若ゞ                     	弱小受                 	208                 	0                   	0                   
繁华笙歌落ゞ                  	小傻瓜                 	206                 	0                   	0                   
脸呢임                     	弱小受                 	202                 	0                   	0                   
漠无双                     	小帅哥                 	199                 	0                   	0                   
三生半世                    	糙汉纸                 	196                 	0                   	0                   
夏一天。                    	弱小受                 	193                 	0                   	0                   
欣小言                     	强总攻                 	187                 	0                   	0                   
喵你妹啊喵喵喵                 	小傻瓜                 	181                 	0                   	0                   
卿心夏雨                    	弱小受                 	180                 	0                   	0                   
满船清梦浮星河                 	小傻瓜                 	179                 	0                   	0                   
未曦                    	弱小受                 	174                 	0                   	0                   
兔叽叉会儿腰                  	小帅哥                 	174                 	0                   	0                   
星楚                    	弱小受                 	171                 	0                   	0                   
ˇ婼颜ペ                    	小帅哥                 	164                 	0                   	0                   
花开未折。                   	小帅哥                 	154                 	0                   	0                   
＊苏君年＊                   	小傻瓜                 	149                 	0                   	0                   
因为我曾有梦                  	小傻瓜                 	146                 	0                   	0                   
雨涵凝霜                    	小帅哥                 	143                 	0                   	0                   
孤魂幽灵                    	小帅哥                 	142                 	0                   	0                   
吻你万千。                   	小帅哥                 	127                 	0                   	0                   
夜天忆                     	小帅哥                 	124                 	0                   	0                   
❀芒种❀                    	小帅哥                 	120                 	0                   	0                   
爱茉莉                     	小傻瓜                 	117                 	0                   	0                   
北葵向暖ゞ                   	糙汉纸                 	112                 	0                   	0                   
芜枳                      	小帅哥                 	108                 	0                   	0                   
魔法少女周棋洛                 	小傻瓜                 	107                 	0                   	0                   
水墨卿烟                    	强总攻                 	102                 	0                   	0                   
一曲断魂思无涯                 	强总攻                 	99                  	0                   	0                   
云阙ゞ                     	小帅哥                 	97                  	0                   	0                   
溟汐倾伞舞                   	小帅哥                 	94                  	0                   	0                   
邂逅的雨天                   	小帅哥                 	89                  	0                   	0                   
Timeless丨北悸             	小帅哥                 	82                  	0                   	0                   
花遮柳ぃ                 	小傻瓜                 	80                  	0                   	0                   
我是一条小蚯蚓                 	小帅哥                 	71                  	0                   	0                   
友善的羽儿                   	小傻瓜                 	68                  	0                   	0                   
玖弦ぃ                    	小傻瓜                 	63                  	0                   	0                   
一蠢绿毛龟                   	小帅哥                 	61                  	0                   	0                   
ぅ久悠ょ                    	小帅哥                 	56                  	0                   	0                   
友善的可可                   	小傻瓜                 	55                  	0                   	0                   
可羽                      	小帅哥                 	52                  	0                   	0                   
孤烟未消。                   	小帅哥                 	49                  	0                   	0                   
华年                    	小帅哥                 	40                  	0                   	0                   
快使用双节棍戳                 	小帅哥                 	37                  	0                   	0                   
任离流                     	小傻瓜                 	34                  	0                   	0                   
别无虚妄ゞ                   	小帅哥                 	32                  	0                   	0                   
潇潇莯雨寒                   	弱小受                 	31                  	0                   	0                   
诗酒离ぅ                    	小帅哥                 	29                  	0                   	0                   
Timeless丨安凉             	小帅哥                 	28                  	0                   	0                   
酒清欢ゞ                    	弱小受                 	26                  	0                   	0                   
凉歌青鸢                    	弱小受                 	24                  	0                   	0                   
望月鹊                     	小帅哥                 	23                  	1                   	0                   
丶幼儿园最可爱                 	小帅哥                 	20                  	0                   	0                   
音流士                     	小帅哥                 	16                  	1                   	0                   
ღ凉笛ˇ                    	小帅哥                 	14                  	0                   	0                   
云折苏                     	强总攻                 	13                  	0                   	0                   
临风怳兮浩歌                  	小帅哥                 	13                  	0                   	0                   
山外小楼听叶雨                 	小帅哥                 	12                  	0                   	0                   
常山赵得柱                   	小帅哥                 	11                  	0                   	0                   
渺若云荒灬                   	小帅哥                 	11                  	0                   	0                   
溟雨吟剑歌                   	小帅哥                 	8                   	0                   	0                   
梁天昀                     	小帅哥                 	8                   	0                   	0                   
睡醒要打怪                   	小帅哥                 	7                   	0                   	0                   
