本周
PVE
帮众                      	职位                  	帮派                                      	剩余              	获得              	消耗              
ㅉㅉㅉ君瞳〃ㅉ                 	副龙首                 	陌上花开                                    	386                 	58                  	0                   
南清尘                     	无职位                 	陌上花开                                    	382                 	60                  	0                   
登徒浪子可奈何                 	无职位                 	万星楼                                     	377                 	54                  	0                   
韩绛雅                     	无职位                 	陌上花开                                    	361                 	58                  	0                   
明座                      	无职位                 	天纵                                      	340                 	41                  	0                   
✲✲展少✲✲                  	无职位                 	天纵                                      	337                 	48                  	0                   
✣子目                     	无职位                 	万星楼                                     	328                 	49                  	0                   
明狐                      	无职位                 	天纵                                      	307                 	42                  	0                   
❀八岁半ღ                   	无职位                 	天纵                                      	289                 	35                  	0                   
小鸡ˋ                     	无职位                 	陌上花开                                    	253                 	29                  	0                   
爆棚哥                     	无职位                 	万星楼                                     	246                 	40                  	0                   
寒夕幽梦                    	无职位                 	天纵                                      	242                 	32                  	0                   
纯黑                      	无职位                 	陌上花开                                    	230                 	27                  	0                   
❀蛮狐❀                    	无职位                 	万星楼                                     	226                 	41                  	0                   
芊素言                     	无职位                 	天纵                                      	201                 	42                  	0                   
垢生                    	无职位                 	陌上花开                                    	200                 	32                  	0                   
醉噵                      	无职位                 	万星楼                                     	198                 	21                  	0                   
凌天一帝                    	无职位                 	万星楼                                     	195                 	32                  	0                   
摸鱼呢                     	无职位                 	陌上花开                                    	195                 	21                  	0                   
眼兒媚                     	无职位                 	陌上花开                                    	193                 	34                  	0                   
❀五橙橙❀                   	副龙首                 	万星楼                                     	187                 	35                  	0                   
❀益力多❀                   	无职位                 	万星楼                                     	186                 	41                  	0                   
۞四糸乃＊                   	长老                  	陌上花开                                    	185                 	24                  	0                   
い水韵卿铭づ                  	无职位                 	天纵                                      	177                 	27                  	0                   
雨陌丶凌先生                  	无职位                 	陌上花开                                    	174                 	40                  	0                   
安意如丶                    	特需官                 	陌上花开                                    	174                 	25                  	0                   
夕城                  	无职位                 	天纵                                      	168                 	31                  	0                   
い嘿丶夜华づ                  	无职位                 	天纵                                      	165                 	25                  	0                   
待我跑个风墙                  	无职位                 	天纵                                      	165                 	38                  	0                   
醉人间ゞ                    	无职位                 	万星楼                                     	164                 	39                  	0                   
加菲猫的猪肉卷                 	无职位                 	陌上花开                                    	163                 	16                  	0                   
杭九歌                     	无职位                 	万星楼                                     	163                 	23                  	0                   
一叶问心                    	无职位                 	天纵                                      	161                 	22                  	0                   
醉清欢ゞ挽風                  	无职位                 	陌上花开                                    	160                 	27                  	0                   
❀白露❀                    	无职位                 	万星楼                                     	159                 	41                  	0                   
辛甘ˋ                     	无职位                 	陌上花开                                    	157                 	9                   	0                   
璇。                      	无职位                 	天纵                                      	156                 	19                  	0                   
余欢喜                    	无职位                 	万星楼                                     	156                 	43                  	0                   
草莓牛奶丷                   	无职位                 	双生逐梦                                    	154                 	14                  	0                   
۞白不易＊                   	无职位                 	陌上花开                                    	150                 	24                  	0                   
哎呀没香溢了ゞ                 	无职位                 	万星楼                                     	150                 	27                  	0                   
曦米鹿                     	无职位                 	陌上花开                                    	149                 	18                  	0                   
萧萧槿花风。                  	无职位                 	天纵                                      	149                 	20                  	0                   
❀梓胥❀                    	无职位                 	万星楼                                     	147                 	18                  	0                   
卿心夏雨                    	无职位                 	万星楼                                     	146                 	22                  	0                   
软梦儿                     	无职位                 	陌上花开                                    	145                 	20                  	0                   
顾清鸢                     	副龙首                 	双生逐梦                                    	144                 	21                  	0                   
❀处暑❀                    	无职位                 	陌上花开                                    	140                 	25                  	0                   
❀三岁半ღ                   	无职位                 	天纵                                      	138                 	36                  	0                   
小汤圆儿゛                   	无职位                 	陌上花开                                    	134                 	21                  	0                   
天之天威                    	无职位                 	天纵                                      	133                 	25                  	0                   
糯米卷ぅ                    	无职位                 	双生逐梦                                    	133                 	21                  	0                   
剑凌萱                     	无职位                 	陌上花开                                    	133                 	5                   	0                   
い嘿丶静诀づ                  	无职位                 	天纵                                      	132                 	20                  	0                   
一袭黑衣染红尘                 	无职位                 	陌上花开                                    	132                 	15                  	0                   
大光明里凤凰现                 	无职位                 	双生逐梦                                    	131                 	14                  	0                   
雨陌丶甜妞妞                  	无职位                 	陌上花开                                    	130                 	26                  	0                   
淘气的小笼包                  	无职位                 	陌上花开                                    	130                 	19                  	0                   
，ben蛋                   	无职位                 	陌上花开                                    	129                 	16                  	0                   
萧萧晓晓                    	无职位                 	天纵                                      	125                 	33                  	0                   
雨陌丶长空                   	无职位                 	陌上花开                                    	124                 	30                  	0                   
絔月                      	无职位                 	陌上花开                                    	124                 	20                  	0                   
糯米团儿゛                   	无职位                 	陌上花开                                    	124                 	19                  	0                   
❀五岁半ღ                   	无职位                 	天纵                                      	123                 	18                  	0                   
璃笙清月                    	无职位                 	天纵                                      	121                 	19                  	0                   
子衿”                     	无职位                 	万星楼                                     	119                 	21                  	0                   
霸气的豆沙包                  	无职位                 	陌上花开                                    	119                 	18                  	0                   
蝶连连的丸子喵                 	无职位                 	天纵                                      	119                 	20                  	0                   
曾沿着雪路浪游                 	无职位                 	万星楼                                     	118                 	25                  	0                   
龙傻傻                     	无职位                 	天纵                                      	118                 	17                  	0                   
有关信仰                    	无职位                 	万星楼                                     	118                 	17                  	0                   
祝止言                     	无职位                 	万星楼                                     	118                 	21                  	0                   
闲倚一枝藤                   	无职位                 	万星楼                                     	118                 	17                  	0                   
冰镇豆腐                    	无职位                 	陌上花开                                    	118                 	20                  	0                   
玲娩儿                     	无职位                 	万星楼                                     	117                 	32                  	0                   
月亮他胖胖的                  	无职位                 	天纵                                      	117                 	23                  	0                   
白夜呀。                    	无职位                 	天纵                                      	115                 	34                  	0                   
蓝楼雨                     	无职位                 	双生逐梦                                    	115                 	14                  	0                   
素手丶妙蔷薇                  	无职位                 	万星楼                                     	114                 	18                  	0                   
买黄瓜送菊花                  	无职位                 	天纵                                      	114                 	20                  	0                   
浅歌ぃ勿忘初心                 	无职位                 	万星楼                                     	113                 	5                   	0                   
珠玑子                     	无职位                 	陌上花开                                    	113                 	4                   	0                   
赋清歌OvO．                 	无职位                 	陌上花开                                    	112                 	12                  	0                   
终丨如初                    	无职位                 	万星楼                                     	112                 	21                  	0                   
月亮她瘦瘦的                  	无职位                 	天纵                                      	111                 	18                  	0                   
王大奶的唐甜甜                 	无职位                 	天纵                                      	110                 	16                  	0                   
风间景                     	无职位                 	天纵                                      	110                 	40                  	0                   
曾循着繁花飞舞                 	无职位                 	万星楼                                     	108                 	17                  	0                   
哎呀快奶我呀ゞ                 	无职位                 	万星楼                                     	108                 	20                  	0                   
중挤挤总是有滴                 	无职位                 	万星楼                                     	108                 	17                  	0                   
水云；                     	无职位                 	天纵                                      	108                 	10                  	0                   
若嫣糖之兮                   	无职位                 	天纵                                      	108                 	20                  	0                   
小狗ˋ                     	无职位                 	陌上花开                                    	108                 	11                  	0                   
嫣语糖之星                   	无职位                 	天纵                                      	107                 	21                  	0                   
堓色                     	无职位                 	陌上花开                                    	107                 	17                  	0                   
花幽岚                     	无职位                 	天纵                                      	107                 	6                   	0                   
清弦五音                    	无职位                 	陌上花开                                    	105                 	16                  	0                   
雪舞云烟                    	无职位                 	万星楼                                     	105                 	4                   	0                   
愤怒的吃货                   	无职位                 	双生逐梦                                    	105                 	12                  	0                   
糯米糕ぅ                    	无职位                 	双生逐梦                                    	105                 	17                  	0                   
素蝶                      	无职位                 	双生逐梦                                    	104                 	17                  	0                   
北宫剑寒                    	无职位                 	陌上花开                                    	103                 	15                  	0                   
蘭裳丶雪宝                   	特需官                 	天纵                                      	103                 	17                  	0                   
神楽                      	无职位                 	陌上花开                                    	103                 	52                  	0                   
奕茴♫                     	无职位                 	天纵                                      	103                 	10                  	0                   
辞不知丶                    	无职位                 	陌上花开                                    	103                 	22                  	0                   
独孤璃殇                    	无职位                 	陌上花开                                    	102                 	17                  	0                   
破晓在黄昏                   	无职位                 	陌上花开                                    	102                 	17                  	0                   
皇族丿凌风                   	无职位                 	万星楼                                     	102                 	4                   	0                   
谷神七                     	无职位                 	天纵                                      	102                 	18                  	0                   
愿人间太平美满                 	无职位                 	万星楼                                     	101                 	20                  	0                   
狐倾九                     	无职位                 	陌上花开                                    	101                 	15                  	0                   
一念相思                  	无职位                 	陌上花开                                    	99                  	25                  	0                   
韩金。                     	无职位                 	双生逐梦                                    	99                  	1                   	0                   
千秋〃                     	无职位                 	万星楼                                     	98                  	16                  	0                   
家有萌妹                    	无职位                 	万星楼                                     	98                  	11                  	0                   
流云〞                     	无职位                 	双生逐梦                                    	98                  	12                  	0                   
仅是灬相逢                   	无职位                 	陌上花开                                    	97                  	12                  	0                   
唐小楼゛                    	无职位                 	万星楼                                     	97                  	18                  	0                   
水墨轻烟                    	无职位                 	万星楼                                     	95                  	6                   	0                   
墨浮笙ヾ参商                  	无职位                 	天纵                                      	95                  	17                  	0                   
倦倦                      	无职位                 	陌上花开                                    	94                  	12                  	0                   
cc一念花开、                 	无职位                 	陌上花开                                    	94                  	0                   	0                   
采栗子的小樱桃                 	无职位                 	陌上花开                                    	94                  	3                   	0                   
こ夜萤                     	无职位                 	双生逐梦                                    	93                  	19                  	0                   
一岁笑                   	龙首                  	天纵                                      	93                  	46                  	0                   
萧然如风丶歌                  	无职位                 	天纵                                      	93                  	35                  	0                   
有没有耒莱                   	无职位                 	天纵                                      	92                  	18                  	0                   
掟上今日子                 	无职位                 	天纵                                      	92                  	1                   	0                   
采蘑菇的小栗子                 	无职位                 	陌上花开                                    	91                  	3                   	0                   
紫须黃发                    	无职位                 	天纵                                      	90                  	14                  	0                   
酥酥今天不开心                 	无职位                 	陌上花开                                    	89                  	7                   	0                   
软梦儿的护卫犬                 	无职位                 	陌上花开                                    	89                  	2                   	0                   
伞剑情                     	无职位                 	陌上花开                                    	89                  	17                  	0                   
风迭影                     	无职位                 	双生逐梦                                    	87                  	10                  	0                   
契约兽丶                    	无职位                 	万星楼                                     	87                  	10                  	0                   
＿琴陌言＿                   	无职位                 	万星楼                                     	87                  	21                  	0                   
那年箐春已逝                  	无职位                 	万星楼                                     	87                  	21                  	0                   
一冬未清萧゜                  	无职位                 	天纵                                      	87                  	9                   	0                   
流岚ㄨ樱花祭                  	无职位                 	天纵                                      	87                  	7                   	0                   
五岁果                   	无职位                 	天纵                                      	86                  	39                  	0                   
隔壁村的林大娘                 	无职位                 	陌上花开                                    	86                  	16                  	0                   
夜樱丶                     	无职位                 	双生逐梦                                    	86                  	4                   	0                   
❀芒种❀                    	无职位                 	万星楼                                     	85                  	8                   	0                   
晚枫柒柒ゝ                   	无职位                 	万星楼                                     	85                  	16                  	0                   
輕颺                      	无职位                 	陌上花开                                    	85                  	12                  	0                   
北城凉竹                    	无职位                 	双生逐梦                                    	85                  	15                  	0                   
雨陌丶天机                   	无职位                 	陌上花开                                    	85                  	14                  	0                   
麥田稻艹人                   	无职位                 	万星楼                                     	84                  	3                   	0                   
南岸锁清秋丶                  	无职位                 	陌上花开                                    	84                  	12                  	0                   
婉蝶                      	无职位                 	双生逐梦                                    	84                  	16                  	0                   
冗词                    	无职位                 	双生逐梦                                    	84                  	11                  	0                   
葬雪                      	无职位                 	陌上花开                                    	83                  	15                  	0                   
舒夜                      	无职位                 	双生逐梦                                    	83                  	2                   	0                   
花堇色                     	无职位                 	陌上花开                                    	83                  	11                  	0                   
寻千羽音                    	无职位                 	双生逐梦                                    	83                  	10                  	0                   
南屿沐承゛                   	无职位                 	陌上花开                                    	82                  	6                   	0                   
归来颂相思                   	无职位                 	天纵                                      	82                  	0                   	0                   
